price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,sqft_living15,sqft_lot15,yr_sold_built
221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,1340,5650,59
538000.0,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,1690,7639,63
180000.0,2,1.0,770,10000,1.0,0,0,3,6,770,0,2720,8062,82
604000.0,4,3.0,1960,5000,1.0,0,0,5,7,1050,910,1360,5000,49
510000.0,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,1800,7503,28
1225000.0,4,4.5,5420,101930,1.0,0,0,3,11,3890,1530,4760,101930,13
257500.0,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,2238,6819,19
291850.0,3,1.5,1060,9711,1.0,0,0,3,7,1060,0,1650,9711,52
229500.0,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,1780,8113,55
323000.0,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,2390,7570,12
662500.0,3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,2210,8925,50
468000.0,2,1.0,1160,6000,1.0,0,0,4,7,860,300,1330,6000,72
310000.0,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,1780,12697,87
400000.0,3,1.75,1370,9680,1.0,0,0,4,7,1370,0,1370,10208,37
530000.0,5,2.0,1810,4850,1.5,0,0,3,7,1810,0,1360,4850,115
650000.0,4,3.0,2950,5000,2.0,0,3,3,9,1980,970,2140,4000,36
395000.0,3,2.0,1890,14040,2.0,0,0,3,7,1890,0,1890,14018,20
485000.0,4,1.0,1600,4300,1.5,0,0,4,7,1600,0,1610,4300,98
189000.0,2,1.0,1200,9850,1.0,0,0,4,7,1200,0,1060,5095,93
230000.0,3,1.0,1250,9774,1.0,0,0,4,7,1250,0,1280,8850,46
385000.0,4,1.75,1620,4980,1.0,0,0,4,7,860,760,1400,4980,67
2000000.0,3,2.75,3050,44867,1.0,0,4,3,9,2330,720,4110,20336,46
285000.0,5,2.5,2270,6300,2.0,0,0,3,8,2270,0,2240,7005,19
252700.0,2,1.5,1070,9643,1.0,0,0,3,7,1070,0,1220,8386,29
329000.0,3,2.25,2450,6500,2.0,0,0,4,8,2450,0,2200,6865,29
233000.0,3,2.0,1710,4697,1.5,0,0,5,6,1710,0,1030,4705,73
937000.0,3,1.75,2450,2691,2.0,0,0,3,8,1750,700,1760,3573,99
667000.0,3,1.0,1400,1581,1.5,0,0,5,8,1400,0,1860,3861,105
438000.0,3,1.75,1520,6380,1.0,0,0,3,7,790,730,1520,6235,66
719000.0,4,2.5,2570,7173,2.0,0,0,3,8,2570,0,2630,6026,10
580500.0,3,2.5,2320,3980,2.0,0,0,3,8,2320,0,2580,3980,11
280000.0,2,1.5,1190,1265,3.0,0,0,3,7,1190,0,1390,1756,9
687500.0,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1460,5000,85
535000.0,3,1.0,1090,3000,1.5,0,0,4,8,1090,0,1570,5080,85
322500.0,4,2.75,2060,6659,1.0,0,0,3,7,1280,780,2020,8720,33
696000.0,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1590,3264,84
550000.0,4,1.0,1660,34848,1.0,0,0,1,5,930,730,2160,11467,81
640000.0,4,2.0,2360,6000,2.0,0,0,4,8,2360,0,1730,4700,110
240000.0,4,1.0,1220,8075,1.0,0,0,2,7,890,330,1290,7800,46
605000.0,4,2.5,2620,7553,2.0,0,0,3,8,2620,0,2620,11884,18
625000.0,4,2.5,2570,5520,2.0,0,0,3,9,2570,0,2470,5669,14
775000.0,4,2.25,4220,24186,1.0,0,0,3,8,2600,1620,2410,30617,30
