date,weekday,holiday,holiday_name,rest1,rest2,rest3,rest4,total
2016-01-01,Friday,1,New Year's Day,65.0,25.0,67.0,139.0,296.0
2016-01-02,Saturday,0,na,24.0,39.0,43.0,85.0,191.0
2016-01-03,Sunday,0,na,24.0,31.0,66.0,81.0,202.0
2016-01-04,Monday,0,na,23.0,18.0,32.0,32.0,105.0
2016-01-05,Tuesday,0,na,2.0,15.0,38.0,43.0,98.0
2016-01-06,Wednesday,0,na,9.0,11.0,22.0,41.0,83.0
2016-01-07,Thursday,0,na,15.0,6.0,18.0,30.0,69.0
2016-01-08,Friday,0,na,79.0,32.0,22.0,16.0,149.0
2016-01-09,Saturday,0,na,44.0,44.0,47.0,99.0,234.0
2016-01-10,Sunday,0,na,26.0,43.0,49.0,94.0,212.0
2016-01-11,Monday,0,na,9.0,22.0,33.0,37.0,101.0
2016-01-12,Tuesday,0,na,6.0,10.0,21.0,20.0,57.0
2016-01-13,Wednesday,0,na,1.0,29.0,11.0,24.0,65.0
2016-01-14,Thursday,0,na,7.0,22.0,20.0,57.0,106.0
2016-01-15,Friday,0,na,32.0,21.0,21.0,21.0,95.0
2016-01-16,Saturday,0,na,49.0,52.0,50.0,86.0,237.0
2016-01-17,Sunday,0,na,60.0,25.0,62.0,50.0,197.0
2016-01-18,Monday,1,Martin Luther King Day,10.0,19.0,19.0,84.0,132.0
2016-01-19,Tuesday,0,na,12.0,27.0,20.0,41.0,100.0
2016-01-20,Wednesday,0,na,24.0,19.0,17.0,47.0,107.0
2016-01-21,Thursday,0,na,37.0,28.0,13.0,28.0,106.0
2016-01-22,Friday,0,na,39.0,55.0,23.0,44.0,161.0
2016-01-23,Saturday,0,na,42.0,48.0,51.0,47.0,188.0
2016-01-24,Sunday,0,na,59.0,32.0,64.0,50.0,205.0
2016-01-25,Monday,0,na,34.0,33.0,19.0,9.0,95.0
2016-01-26,Tuesday,0,na,9.0,30.0,14.0,23.0,76.0
2016-01-27,Wednesday,0,na,5.0,42.0,20.0,38.0,105.0
2016-01-28,Thursday,0,na,16.0,20.0,22.0,37.0,95.0
2016-01-29,Friday,0,na,57.0,53.0,24.0,16.0,150.0
2016-01-30,Saturday,0,na,46.0,50.0,45.0,84.0,225.0
2016-01-31,Sunday,0,na,55.0,15.0,60.0,74.0,204.0
2016-02-01,Monday,0,na,25.0,25.0,31.0,13.0,94.0
2016-02-02,Tuesday,1,Groundhog Day,43.0,6.0,19.0,32.0,100.0
2016-02-03,Wednesday,0,na,16.0,19.0,16.0,21.0,72.0
2016-02-04,Thursday,0,na,30.0,6.0,15.0,46.0,97.0
2016-02-05,Friday,0,na,56.0,56.0,24.0,11.0,147.0
2016-02-06,Saturday,0,na,88.0,36.0,81.0,49.0,254.0
2016-02-07,Sunday,0,na,65.0,32.0,55.0,25.0,177.0
2016-02-08,Monday,0,na,18.0,6.0,20.0,24.0,68.0
2016-02-09,Tuesday,0,na,28.0,17.0,24.0,64.0,133.0
2016-02-10,Wednesday,0,na,24.0,19.0,17.0,47.0,107.0
2016-02-11,Thursday,0,na,34.0,17.0,47.0,78.0,176.0
2016-02-12,Friday,0,na,32.0,36.0,54.0,17.0,139.0
2016-02-13,Saturday,0,na,75.0,22.0,43.0,87.0,227.0
2016-02-14,Sunday,1,Valentine's Day,30.0,32.0,47.0,121.0,230.0
2016-02-15,Monday,1,Presidents Day,7.0,32.0,30.0,43.0,112.0
2016-02-16,Tuesday,0,na,33.0,4.0,17.0,37.0,91.0
2016-02-17,Wednesday,0,na,25.0,22.0,21.0,44.0,112.0
2016-02-18,Thursday,0,na,22.0,30.0,22.0,44.0,118.0
2016-02-19,Friday,0,na,33.0,53.0,29.0,52.0,167.0
2016-02-20,Saturday,0,na,50.0,59.0,51.0,53.0,213.0
2016-02-21,Sunday,0,na,21.0,9.0,32.0,85.0,147.0
2016-02-22,Monday,0,na,25.0,2.0,23.0,20.0,70.0
2016-02-23,Tuesday,0,na,32.0,11.0,21.0,42.0,106.0
2016-02-24,Wednesday,0,na,13.0,21.0,12.0,49.0,95.0
2016-02-25,Thursday,0,na,37.0,14.0,30.0,49.0,130.0
2016-02-26,Friday,0,na,52.0,41.0,36.0,53.0,182.0
2016-02-27,Saturday,0,na,84.0,53.0,48.0,113.0,298.0
2016-02-28,Sunday,0,na,58.0,20.0,63.0,55.0,196.0
2016-02-29,Monday,0,na,53.0,21.0,17.0,22.0,113.0
2016-03-01,Tuesday,0,na,7.0,30.0,23.0,37.0,97.0
2016-03-02,Wednesday,0,na,13.0,20.0,14.0,21.0,68.0
2016-03-03,Thursday,0,na,17.0,26.0,17.0,28.0,88.0
2016-03-04,Friday,0,na,56.0,26.0,29.0,24.0,135.0
2016-03-05,Saturday,0,na,66.0,37.0,60.0,91.0,254.0
2016-03-06,Sunday,0,na,45.0,37.0,60.0,50.0,192.0
2016-03-07,Monday,0,na,22.0,12.0,25.0,4.0,63.0
2016-03-08,Tuesday,0,na,64.0,12.0,24.0,52.0,152.0
2016-03-09,Wednesday,0,na,4.0,7.0,19.0,26.0,56.0
2016-03-10,Thursday,0,na,16.0,25.0,23.0,38.0,102.0
2016-03-11,Friday,0,na,43.0,31.0,33.0,11.0,118.0
